PF19546	211,75,59
PF00815	179,60,202
PF00480	120,100,228
PF03814	105,133,221
PF02669	91,190,146
PF13370	117,75,188
PF07737	104,177,228
PF01541	160,59,183
PF02110	64,167,200
PF02581	89,148,219
PF02557	206,61,164
PF01757	222,85,202
PF00842	110,49,190
PF02777	98,66,183
PF00081	62,156,194
PF13365	67,204,202
PF14266	146,178,50
PF02342	133,55,196
PF00690	86,205,90
PF13246	107,215,81
PF00689	100,77,188
PF05816	59,152,192
PF15617	167,213,73
PF15609	117,180,86
PF12500	68,121,180
PF11202	181,50,155
PF15608	74,81,202
PF01244	86,210,119
PF10437	49,186,58
PF01571	189,52,107
PF08669	199,88,95
PF21478	93,208,142
PF06865	119,99,212
PF08874	159,224,92
PF12395	96,218,57
PF10110	206,59,76
PF05857	141,211,73
PF01470	178,77,61
PF06166	71,219,217
PF06149	192,70,176
PF12724	183,51,168
PF01156	221,63,226
PF00085	92,160,197
PF02579	171,189,76
PF01235	60,183,139
PF00885	120,73,202
PF00925	209,54,215
PF00926	155,73,193
PF00677	71,162,182
PF01872	78,152,211
PF16124	93,102,192
PF09382	55,199,76
PF00570	184,136,90
PF14493	183,91,151
PF02597	107,90,202
PF14453	74,212,82
PF00899	201,84,157
PF05690	98,196,194
PF03606	211,85,63
PF12804	65,196,72
PF13380	208,140,77
PF01906	169,191,54
PF06463	201,156,98
PF01967	208,102,153
PF03473	142,82,200
PF02133	65,147,189
PF06032	193,82,206
PF20906	146,59,184
PF05378	216,65,181
PF01968	76,226,90
PF08002	128,97,203
PF01553	103,90,188
PF20240	72,83,182
PF19524	172,188,57
PF01895	223,215,58
PF02690	185,87,88
PF13527	146,75,189
PF02607	63,178,93
PF01208	197,171,54
PF09338	90,69,179
PF03616	105,126,223
PF00962	180,161,84
PF12787	70,200,68
PF18560	224,91,82
PF01327	142,54,182
PF03013	99,221,178
PF11208	176,54,189
PF15417	187,156,77
PF09989	199,69,221
PF03960	199,129,65
PF14062	92,223,215
PF01171	73,116,197
PF01170	107,89,228
PF00764	207,87,156
PF20979	146,59,208
PF14399	96,226,210
PF16169	178,229,98
PF07739	189,66,206
PF14276	83,182,94
PF04239	193,133,59
PF01370	118,94,201
PF08980	216,70,99
PF01077	56,163,180
PF03460	72,95,191
PF00532	75,205,90
PF00251	78,202,178
PF08244	98,204,95
PF07866	124,59,178
PF00300	189,83,167
PF03486	193,215,98
PF02224	101,77,210
PF02401	154,205,59
PF11449	183,153,82
PF13382	89,202,158
PF03883	226,71,118
PF01053	138,215,87
PF04204	86,131,178
PF02702	76,180,85
PF01544	84,200,189
PF18152	207,187,71
PF01761	95,133,197
PF01264	90,210,225
PF01817	141,218,92
PF00800	187,135,79
PF08501	137,54,181
PF01202	186,58,154
PF02153	215,83,143
PF20463	210,73,114
PF02698	226,160,76
PF17210	58,192,223
PF01345	168,79,190
PF18812	216,69,67
PF13408	201,100,64
PF00936	192,180,94
PF10662	99,219,79
PF03861	56,193,113
PF12282	208,76,73
PF07568	124,210,98
PF06277	136,202,84
PF06751	188,128,67
PF05985	155,63,218
PF01923	195,63,208
PF06130	73,206,217
PF03319	216,138,93
PF06249	92,177,200
PF01726	117,54,200
PF21631	211,73,122
PF04232	201,76,217
PF03255	207,63,86
PF17848	131,197,77
PF02390	80,54,180
PF18029	211,142,96
PF13302	187,92,123
PF01996	119,57,198
PF13486	69,212,100
PF08840	61,97,222
PF04775	115,204,76
PF04474	214,99,205
PF04199	64,189,69
PF06838	139,103,215
PF17209	205,58,84
PF01715	125,90,195
PF08676	138,87,202
PF01119	80,213,155
PF05192	184,90,86
PF05188	220,108,169
PF01624	89,190,146
PF01910	206,167,102
PF12650	154,71,183
PF17099	229,169,99
PF05223	81,228,114
PF02627	102,88,181
PF13630	208,67,179
PF10114	119,89,188
PF00082	84,216,151
PF05732	177,58,217
PF01177	180,189,50
PF01960	125,81,225
PF02774	75,135,216
PF01118	55,124,199
PF14268	222,80,180
PF11188	164,186,53
PF13443	183,64,126
PF06962	192,81,100
PF03950	203,211,79
PF20974	217,54,97
PF19279	67,207,73
PF00781	203,92,191
PF13170	85,73,178
PF19842	193,225,109
PF20256	105,116,219
PF02738	125,78,187
PF01315	193,204,58
PF03450	214,105,136
PF00941	196,72,170
PF00860	76,193,84
PF12837	95,124,192
PF01799	80,216,55
PF10117	192,147,78
PF06177	87,172,188
PF03706	207,88,110
PF16949	85,156,215
PF00923	205,89,202
PF21018	84,200,202
PF14821	188,166,70
PF00288	114,182,88
PF08544	218,200,99
PF01613	180,195,97
PF13432	177,180,65
PF08238	158,194,64
PF12725	199,196,95
PF19092	204,151,62
PF04551	53,196,186
PF02163	92,211,60
PF13288	180,168,87
PF08436	173,73,181
PF02670	52,178,162
PF01148	160,61,197
PF01255	190,93,79
PF01765	202,100,78
PF00889	181,53,85
PF00318	84,192,93
PF07885	96,75,189
PF06803	220,105,63
PF02659	69,186,182
PF01139	156,97,205
PF00069	89,170,226
PF05343	96,195,91
PF21699	107,228,88
PF18128	87,216,151
PF18133	205,93,103
PF00056	172,88,222
PF02866	69,223,82
PF01641	80,195,97
PF01625	196,53,65
PF00375	209,60,189
PF08455	117,62,186
PF11308	79,144,214
PF03633	207,98,204
PF03632	87,194,54
PF03636	56,203,219
PF02903	201,89,196
PF00210	181,70,49
PF13549	77,94,224
PF13607	153,225,92
PF00756	60,175,213
PF00484	138,199,76
PF01487	112,180,83
PF12695	192,152,48
PF13515	119,76,200
PF01226	88,181,108
PF17179	147,211,77
PF03629	53,183,170
PF04074	121,78,204
PF00701	68,214,67
PF04131	95,194,145
PF00152	201,89,144
PF01336	207,63,62
PF12655	179,66,78
PF05762	88,105,202
PF12544	64,197,142
PF13303	168,195,66
PF19935	196,50,58
PF00854	126,104,216
PF16188	92,104,224
PF16189	77,195,228
PF01321	193,62,133
PF00355	107,218,104
PF01266	106,46,185
PF13350	59,189,198
PF11687	107,199,52
PF03591	79,108,187
PF05437	98,196,188
PF12676	92,94,217
PF04016	177,92,220
PF02585	83,221,225
PF00834	127,61,192
PF02502	67,53,180
PF00456	198,52,76
PF08125	193,68,96
PF01232	183,191,54
PF00478	141,179,89
PF10112	174,98,224
PF13336	223,113,71
PF02550	173,75,209
PF03241	85,200,117
PF11794	82,220,64
PF06826	61,162,194
PF19364	163,102,209
PF04723	123,74,201
PF01432	78,84,205
PF03243	193,75,82
PF03773	48,188,192
PF02635	201,132,65
PF01729	183,173,81
PF02749	144,65,191
PF00890	111,53,183
PF02445	67,143,206
PF07561	228,78,170
PF00989	221,75,171
PF06506	62,206,195
PF12653	110,197,71
PF00692	73,153,218
PF13342	101,205,170
PF13437	138,96,210
PF00873	185,91,149
PF02321	159,85,198
PF01527	200,75,69
PF02896	190,84,100
PF03618	97,149,200
PF21135	226,105,165
PF03417	227,75,65
PF02092	198,78,86
PF02091	86,77,183
PF14242	94,223,124
PF02565	217,54,163
PF11967	226,68,146
PF01769	181,48,76
PF03448	101,221,204
PF01569	208,105,213
PF01219	220,93,86
PF02130	152,200,97
PF02562	142,184,91
PF06898	101,219,131
PF07873	55,162,205
PF03073	72,83,213
PF09424	214,160,99
PF01165	202,53,135
PF01230	46,185,114
PF04452	92,131,187
PF20260	110,79,204
PF18019	221,105,172
PF09704	83,148,209
PF01881	78,201,85
PF17912	134,224,66
PF13556	200,105,87
PF01556	60,180,211
PF00226	66,211,179
PF00012	185,168,88
PF01025	76,221,191
PF01628	219,103,58
PF06969	83,210,122
PF13735	112,190,90
PF12627	75,202,194
PF01743	92,227,86
PF06421	197,190,64
PF07454	181,47,100
PF03418	183,59,52
PF01649	156,184,85
PF21694	181,57,142
PF06144	67,79,180
PF03772	94,199,226
PF13530	101,140,214
PF17668	207,120,101
PF09924	159,185,51
PF07009	85,185,198
PF02424	224,120,106
PF20511	226,165,62
PF21621	200,93,215
PF09107	58,183,169
PF09106	63,58,189
PF03841	197,98,113
PF12390	63,219,186
PF10087	140,80,184
PF14698	113,63,188
PF01842	73,210,176
PF00710	93,190,131
PF17763	218,64,158
PF08264	87,61,212
PF00133	53,106,196
PF13603	139,64,205
PF02410	210,68,200
PF01467	69,191,145
PF02631	172,90,203
PF02922	191,78,171
PF02806	83,189,144
PF03992	81,209,218
PF02872	98,68,199
PF16138	95,193,184
PF07238	149,180,62
PF13320	90,107,205
PF01547	211,180,75
PF13580	219,68,199
PF03602	200,52,105
PF19833	89,188,64
PF17191	78,197,92
PF13684	90,213,158
PF21645	116,61,185
PF02734	149,50,182
PF00830	104,140,217
PF04754	225,137,102
PF01074	154,223,83
PF09261	189,50,121
PF07748	195,171,95
PF17677	150,103,217
PF04265	86,224,210
PF03193	228,92,167
PF16745	78,220,166
PF03793	215,66,226
PF13672	221,86,116
PF21016	113,227,170
PF04298	176,92,213
PF01976	74,140,212
PF02911	176,185,85
PF18074	220,83,149
PF18319	133,221,69
PF04851	214,86,82
PF17764	110,228,115
PF04127	157,87,185
PF01192	78,204,95
PF00625	109,215,66
PF08340	222,94,118
PF03755	206,229,96
PF01678	104,204,214
PF01212	60,198,188
PF05833	194,52,130
PF05670	179,54,103
PF01252	176,191,81
PF06580	185,51,75
PF07694	95,54,182
PF03496	142,95,200
PF07691	82,201,143
PF03495	83,222,190
PF17475	106,175,215
PF17476	196,174,53
PF19302	52,89,182
PF05103	59,47,183
PF17774	64,210,91
PF02325	184,98,225
PF04472	89,131,208
PF12700	226,141,83
PF05167	205,73,121
PF13740	149,86,191
PF20439	219,89,194
PF20438	53,191,141
PF09547	59,219,226
PF07479	224,60,115
PF01210	192,60,74
PF02660	60,104,212
PF14714	62,66,186
PF04459	116,216,71
PF19238	178,48,131
PF17820	106,106,217
PF14045	52,180,75
PF03419	190,87,189
PF12327	229,197,65
PF00091	62,187,153
PF06947	72,124,179
PF05949	204,153,93
PF08478	53,181,123
PF03033	83,200,64
PF02875	202,175,91
PF08245	134,205,60
PF21799	147,93,202
PF00953	218,139,94
PF10555	106,206,75
PF01225	138,202,80
PF01795	217,60,169
PF01790	108,210,71
PF06071	206,146,53
PF10371	92,117,215
PF13185	152,95,197
PF00269	60,123,222
PF03590	188,165,72
PF12683	46,110,183
PF13599	177,206,56
PF18317	81,108,221
PF00724	169,97,227
PF12686	72,152,210
PF03734	102,194,205
PF05036	196,81,214
PF04203	66,189,54
PF00464	85,181,222
PF04246	165,178,60
PF02583	68,185,147
PF13291	71,171,187
PF19296	110,62,199
PF13328	180,70,165
PF17768	123,220,94
PF03109	223,110,86
PF13186	95,87,183
PF04647	70,208,89
PF05524	118,101,213
PF00381	210,66,92
PF12950	70,86,209
PF14270	66,179,89
PF03816	83,128,213
PF02638	84,74,210
PF02719	94,208,175
PF13727	81,53,180
PF13477	69,224,189
PF03720	54,97,189
PF00984	93,196,191
PF03721	61,180,62
PF04464	204,83,222
PF04488	199,92,64
PF01050	222,210,78
PF02397	79,200,99
PF16401	67,225,155
PF04138	68,74,184
PF07523	121,90,217
PF13402	189,68,215
PF00404	81,98,219
PF13165	95,215,68
PF12670	203,95,78
PF02699	97,196,183
PF01702	214,78,121
PF06146	163,74,217
PF02547	54,154,192
PF05491	61,163,217
PF17864	98,192,57
PF05496	219,221,58
PF07499	71,212,119
PF01330	57,198,187
PF02075	53,152,214
PF17042	218,144,61
PF07005	180,106,219
PF14031	148,85,179
PF12641	195,78,145
PF17802	214,83,60
PF05737	139,178,48
PF13171	70,182,166
PF04519	67,202,148
PF04914	157,105,212
PF19289	118,54,185
PF19290	227,203,74
PF01523	224,90,154
PF03812	76,77,213
PF08666	171,85,204
PF04295	148,92,195
PF20629	225,89,192
PF04794	205,61,84
PF13343	58,85,187
PF01813	185,195,61
PF16886	98,194,200
PF01990	178,90,226
PF01992	160,200,57
PF01991	134,70,182
PF00137	78,210,159
PF01496	219,83,72
PF01488	93,173,190
PF16924	223,150,105
PF02632	109,227,187
PF09827	62,182,75
PF01867	104,215,214
PF01930	193,57,71
PF01905	98,228,121
PF09706	65,113,215
PF00268	90,114,182
PF00317	183,185,66
PF08343	77,190,162
PF00805	90,125,187
PF19062	196,74,64
PF18481	192,61,68
PF02683	78,99,192
PF06800	100,66,180
PF03595	92,143,208
PF08902	197,88,150
PF12708	85,184,180
PF09860	177,63,202
PF11495	156,190,94
PF09967	96,67,182
PF13203	217,65,178
PF06081	228,103,69
PF11728	184,192,79
PF05913	190,212,89
PF19200	211,93,171
PF03702	110,79,223
PF12832	172,104,224
PF03572	194,77,83
PF13412	87,198,189
PF21365	186,66,219
PF01055	79,220,67
PF13802	206,167,56
PF07510	104,223,228
PF03235	211,146,103
PF08463	192,82,61
PF13643	218,109,141
PF18765	184,70,106
PF01420	95,211,85
PF12161	213,83,74
PF02595	71,205,60
PF16657	194,174,86
PF00365	190,121,51
PF11337	65,65,189
PF00201	57,182,146
PF04014	90,106,206
PF14287	66,206,122
PF02486	100,74,227
PF18106	53,149,205
PF10694	179,194,78
PF10400	50,137,200
PF19539	63,205,108
PF09983	208,71,54
PF08867	55,178,120
PF13751	93,84,180
PF21350	170,204,96
PF01844	215,54,179
PF20648	184,165,60
PF13151	220,75,216
PF12668	135,82,185
PF10546	220,158,93
PF01668	95,49,181
PF08974	223,95,140
PF00773	181,46,55
PF17876	88,109,210
PF08206	198,148,64
PF01161	120,196,66
PF03840	67,191,128
PF00113	216,59,193
PF03952	226,94,100
PF06415	105,197,58
PF00121	83,98,199
PF00162	93,110,206
PF21715	72,217,90
PF04552	100,179,208
PF04963	79,133,211
PF00309	90,175,182
PF13563	73,182,165
PF02096	190,91,71
PF13847	74,97,191
PF12636	65,202,95
PF01430	114,226,82
PF03313	77,179,128
PF03315	76,163,208
PF01113	204,92,163
PF05173	75,116,182
PF08503	175,76,226
PF14602	215,75,130
PF01391	85,183,55
PF05544	64,170,222
PF14277	225,97,98
PF10458	183,70,154
PF12849	204,99,85
PF08439	185,57,53
PF09388	187,49,110
PF07456	93,201,77
PF13180	68,53,201
PF00342	133,182,58
PF21688	206,93,176
PF00482	180,72,131
PF00437	213,110,226
PF02190	144,89,208
PF06689	199,80,120
PF05698	100,117,204
PF00254	78,213,193
PF05697	197,73,144
PF01725	64,202,140
PF00533	50,189,174
PF12826	81,105,215
PF03119	77,185,95
PF03120	182,186,92
PF01653	152,181,59
PF12646	75,223,104
PF12800	54,177,184
PF02256	79,219,181
PF02634	224,97,163
PF12654	74,190,179
PF06353	107,68,199
PF01037	152,203,80
PF06182	212,187,103
PF13474	187,170,82
PF12647	201,95,173
PF02887	100,57,184
PF00224	179,164,67
PF02650	217,73,110
PF14527	187,57,107
PF10298	195,75,156
PF01933	120,188,81
PF03668	108,178,53
PF02873	222,99,93
PF01257	63,67,180
PF10589	221,105,79
PF13510	153,74,185
PF10588	153,198,80
PF07475	193,151,96
PF02603	187,93,213
PF08459	228,119,99
PF17760	174,110,228
PF12344	141,78,182
PF17757	192,181,63
PF01663	101,208,213
PF14824	225,204,106
PF13241	217,61,117
PF00490	64,221,104
PF02602	202,89,141
PF00590	179,47,153
PF03900	70,161,182
PF01379	89,227,178
PF06180	224,79,200
PF02571	199,100,89
PF01890	167,227,108
PF11761	179,215,83
PF11760	184,67,191
PF01888	86,141,179
PF02570	112,75,178
PF03186	223,132,82
PF07685	184,85,73
PF02654	222,106,161
PF02277	78,176,216
PF01263	223,94,172
PF21378	93,226,227
PF20317	102,64,185
PF14285	48,76,181
PF02452	211,145,85
PF01648	205,65,199
PF02823	100,51,193
PF00231	194,76,135
PF00306	202,74,138
PF00213	213,92,67
PF00430	102,180,84
PF00119	61,169,226
PF03899	59,160,209
PF09527	103,221,148
PF03481	193,78,114
PF01300	157,197,93
PF05175	111,93,202
PF17827	178,101,216
PF07136	50,106,195
PF01197	72,174,184
PF07497	185,81,172
PF07498	60,208,136
PF19732	101,205,229
PF02541	74,222,169
PF04977	185,186,71
PF09578	217,103,177
PF15714	196,69,214
PF03461	59,78,224
PF01195	182,158,50
PF01478	203,114,69
PF06750	217,164,99
PF04350	221,84,164
PF05137	78,64,218
PF05157	97,101,215
PF14572	91,200,129
PF13793	79,179,181
PF04026	179,79,88
PF09182	227,177,90
PF00398	228,59,205
PF13331	188,88,54
PF06007	138,77,180
PF05861	79,155,204
PF05845	223,111,143
PF06754	107,224,80
PF01026	212,126,90
PF17767	207,76,136
PF17956	84,181,109
PF04468	80,229,94
PF09115	222,77,103
PF04070	51,124,201
PF01272	121,92,224
PF03449	75,187,179
PF01207	113,185,83
PF03309	105,181,218
PF03576	221,203,89
PF02237	138,187,58
PF11734	111,184,224
PF09148	189,174,61
PF07486	95,93,215
PF09551	58,225,209
PF12673	221,104,217
PF06257	74,64,182
PF05582	80,195,84
PF12640	144,187,88
PF07205	225,87,102
PF10672	184,91,119
PF02787	65,183,55
PF00988	71,189,158
PF00215	204,76,135
PF08901	209,72,197
PF02073	167,59,216
PF02574	206,102,213
PF02965	124,217,108
PF02664	86,103,211
PF01458	69,102,184
PF12638	186,70,189
PF04343	76,187,159
PF18202	197,204,80
PF06125	180,84,127
PF14317	180,125,83
PF12664	90,149,183
PF00302	67,207,124
PF07275	100,201,145
PF12846	201,134,98
PF13702	196,124,61
PF12642	183,77,127
PF13783	207,204,85
PF13102	182,155,57
PF10026	94,197,144
PF06983	66,187,151
PF12788	113,205,88
PF03831	145,69,197
PF08274	137,77,187
PF07242	175,75,195
PF01081	182,65,62
PF18232	224,91,178
PF06496	221,66,85
PF08309	226,103,123
PF07071	79,173,227
PF02590	206,86,200
PF12706	189,51,152
PF01433	96,91,213
PF07261	154,88,183
PF01695	174,84,190
PF00709	191,187,74
PF03948	185,52,59
PF01281	179,68,140
PF21370	179,208,89
PF12643	109,225,92
PF01084	201,145,55
PF01250	217,67,70
PF06107	123,69,224
PF11823	215,92,178
PF01206	89,179,58
PF13424	75,197,140
PF14938	130,58,185
PF10646	94,121,220
PF17762	187,75,162
PF02527	86,181,46
PF13932	154,49,197
PF21680	112,195,78
PF01134	92,188,119
PF12631	187,47,187
PF10396	164,227,81
PF01424	225,73,172
PF14804	52,69,185
PF01809	198,53,212
PF00825	186,174,53
PF00468	103,216,61
PF12770	73,208,199
PF00498	59,179,181
PF01590	93,197,58
PF13374	65,183,129
PF14891	114,80,190
PF00353	80,117,180
PF01075	141,187,64
PF13519	57,211,109
PF07676	92,189,202
PF13620	77,180,172
PF04465	105,190,72
PF18731	51,184,89
PF02086	90,84,214
PF06634	125,61,192
PF13020	186,170,64
PF07696	123,227,78
PF07695	94,185,227
PF19313	218,98,214
PF06452	67,212,93
PF03454	215,186,73
PF04326	216,77,215
PF00459	81,127,198
PF08442	56,200,58
PF16114	225,67,67
PF00549	46,179,182
PF13240	87,198,205
PF13692	139,98,222
PF01435	85,137,181
PF17831	198,177,57
PF00891	64,207,185
PF16864	201,91,124
PF07495	145,196,80
PF04413	207,219,66
PF04362	189,106,227
PF00092	113,213,90
PF05140	155,190,51
PF12694	74,158,219
PF06271	79,199,92
PF03938	100,194,210
PF05050	178,75,215
PF00346	181,71,154
PF00329	69,96,181
PF01058	185,219,58
PF00507	193,203,77
PF13720	131,198,75
PF01741	193,72,86
PF17782	178,62,112
PF02897	164,59,184
PF14332	57,165,215
PF09723	213,167,102
PF21783	193,79,135
PF16258	142,94,205
PF01804	75,136,225
PF03544	109,63,219
PF03929	172,223,105
PF04389	108,198,228
PF00462	179,102,72
PF08308	50,138,188
PF13487	210,169,75
PF01593	72,205,192
PF00148	133,87,188
PF08369	111,89,207
PF19576	89,192,81
PF13444	78,220,83
PF09545	98,78,187
PF03168	107,216,197
PF03548	66,185,212
PF01343	165,200,53
PF19276	200,216,79
PF06798	201,78,185
PF08298	191,159,80
PF00970	60,95,198
PF02830	96,219,130
PF00502	180,224,96
PF09685	221,156,67
PF02621	221,92,198
PF01555	194,105,227
PF07819	113,189,91
PF01975	90,221,190
PF01578	175,59,217
PF12291	154,215,102
PF02492	200,56,189
PF07683	174,187,57
PF01972	53,69,214
PF10604	124,205,59
PF12158	93,205,196
PF00142	92,130,188
PF01935	69,226,211
PF09376	108,190,223
PF19557	49,182,68
PF04390	138,218,86
PF13464	160,61,201
PF13413	76,191,217
PF05573	163,81,186
PF00033	195,95,202
PF00032	89,159,208
PF01654	58,196,110
PF11127	189,83,48
PF16576	186,58,191
PF07715	200,164,83
PF00593	202,85,113
PF02485	216,94,135
PF05195	185,84,142
PF00218	190,73,111
PF00916	81,128,184
PF07947	215,216,77
PF19304	55,185,135
PF04244	189,91,113
PF07109	129,204,75
PF02636	198,88,150
PF13414	167,212,105
PF11736	200,178,92
PF02416	185,139,91
PF05977	92,181,211
PF01425	202,89,191
PF11866	88,223,174
PF11213	75,126,223
PF07859	91,141,187
PF13460	70,182,124
PF13717	218,76,143
PF04285	179,165,79
PF04030	184,141,89
PF03703	141,184,83
PF13176	144,203,77
PF13191	99,129,207
PF01242	119,183,58
PF00025	66,51,202
PF03259	222,102,130
PF09423	131,64,207
PF14255	78,104,200
PF00034	95,197,210
PF00351	65,183,213
PF17863	144,211,71
PF03767	173,201,90
PF13231	90,177,208
PF00400	173,92,216
PF16811	182,61,59
PF13145	113,187,87
PF04932	150,219,98
PF01882	128,205,63
PF14849	194,93,56
PF18916	174,180,49
PF05661	60,166,227
PF01293	223,107,110
PF20154	127,84,185
PF07994	62,186,212
PF08811	207,80,149
PF07394	64,195,190
PF10173	192,77,180
PF09345	183,226,76
PF04012	103,218,125
PF10633	70,190,155
PF16884	141,73,200
PF02684	115,99,200
PF00174	168,187,75
PF07726	193,50,130
PF03799	224,172,70
PF02491	73,194,82
PF14450	226,107,121
PF20382	86,131,205
PF13369	193,161,95
PF09752	99,212,190
PF14684	129,197,92
PF00595	53,194,173
PF13784	166,86,198
PF19288	214,96,125
PF00670	98,77,224
PF05221	205,126,85
PF01642	61,196,178
PF02910	78,155,186
PF13085	200,71,225
PF00011	62,120,203
PF01436	185,195,86
PF01928	193,128,62
PF13500	188,82,178
PF01209	226,141,73
PF07291	118,72,184
PF04293	210,84,174
PF13308	186,54,117
PF04116	149,67,208
PF06127	97,192,94
PF14537	132,60,195
PF13738	223,74,105
PF04366	190,93,159
PF13650	196,55,94
PF04773	194,136,62
PF05076	137,76,198
PF10263	181,162,83
PF03966	120,190,79
PF13004	184,59,139
PF05345	201,168,97
PF02225	83,200,200
PF01878	106,136,220
PF00263	208,74,208
PF03958	74,51,196
PF00227	79,61,221
PF05685	58,200,128
PF03641	196,110,72
PF03783	174,58,207
PF00850	79,167,221
PF02666	92,200,217
PF03741	79,181,199
PF03441	205,87,67
PF00875	172,104,219
PF04893	226,175,82
PF01694	126,94,229
PF13671	94,192,48
PF14559	199,198,83
PF01909	56,192,176
PF01494	209,86,197
PF10415	53,197,191
PF06827	87,98,208
PF06831	220,108,156
PF01149	152,99,200
PF02012	128,200,87
PF14685	89,118,206
PF02470	110,228,87
PF00334	154,85,195
PF10345	105,196,95
PF17874	53,130,194
PF02516	160,213,105
PF18079	225,110,78
PF20702	130,82,187
PF08899	152,187,55
PF21344	223,91,189
PF14239	207,103,195
PF14279	199,74,203
PF13559	92,168,188
PF14258	219,92,193
PF13906	171,61,202
PF13668	76,194,200
PF13442	73,60,182
PF13450	184,83,98
PF01329	174,199,55
PF04563	134,212,98
PF12766	144,216,71
PF04193	82,197,178
PF02566	63,158,212
PF13279	95,204,167
PF03055	62,203,94
PF02261	119,218,64
PF10601	191,62,99
PF05258	63,222,105
PF00909	195,68,81
PF00543	69,103,181
PF00221	218,96,189
PF07920	51,57,199
PF03209	225,57,69
PF05834	220,93,108
PF00361	69,82,211
PF04191	185,54,75
PF10069	166,104,228
PF11976	82,149,192
PF02472	218,149,69
PF02355	208,120,88
PF07549	217,98,207
PF21760	79,217,170
PF17930	200,77,155
PF06230	86,58,190
PF14339	188,52,140
PF00285	140,227,73
PF00246	204,143,78
PF03787	98,161,206
PF01027	116,217,107
PF17785	82,189,197
PF01218	68,228,107
PF04909	87,189,170
PF10079	145,67,207
PF13664	135,88,180
PF04480	194,189,54
PF03852	120,105,221
PF00145	81,193,222
PF01103	136,192,94
PF07244	99,200,58
PF09651	89,201,54
PF09700	68,57,184
PF12469	84,227,114
PF13578	220,93,194
PF03130	78,122,203
PF08338	79,197,133
PF13428	216,103,120
PF02113	50,62,184
PF05982	201,92,127
PF21447	207,179,90
PF17918	94,190,226
PF09243	80,186,123
PF14261	80,197,139
PF15601	216,219,105
PF03884	154,60,201
PF02591	209,184,98
PF00311	91,136,191
PF03065	86,185,159
PF09210	143,69,215
PF20181	226,90,121
PF01169	75,189,99
PF05257	187,136,75
PF10282	74,141,220
PF01174	182,224,58
PF00223	121,225,96
PF02374	137,59,181
PF17886	88,197,141
PF03838	203,80,127
PF01680	55,187,196
PF04248	198,94,95
PF07927	73,110,180
PF02606	199,76,119
PF14338	68,208,66
PF04471	93,136,223
PF04255	213,68,201
PF18480	193,79,208
PF00697	212,172,92
PF13304	100,80,197
PF14103	87,134,207
PF03030	139,88,186
PF17164	50,179,102
PF17778	108,227,215
PF04613	73,226,101
PF17810	219,59,166
PF01916	174,74,195
PF04134	111,227,118
PF13604	204,54,67
PF12773	188,81,73
PF13570	84,181,91
PF02834	204,217,87
PF01940	91,197,127
PF13451	218,227,88
PF00146	81,132,228
PF00499	227,99,200
PF00420	135,227,99
PF00662	123,75,179
PF01010	77,115,188
PF06965	54,180,131
PF20732	89,138,182
PF07075	52,137,204
PF00902	86,181,170
PF04028	82,94,187
PF18130	83,212,225
PF14907	50,78,185
PF11992	186,68,202
PF03951	154,59,229
PF03088	116,82,197
PF07681	179,92,57
PF13490	159,97,223
PF01934	96,214,100
PF00719	129,217,75
PF01883	125,85,229
PF00939	65,210,93
PF08712	203,91,89
PF01875	214,215,87
PF03331	107,221,164
PF04377	154,85,193
PF11306	168,93,201
PF03203	49,147,190
PF10825	228,139,88
PF07837	123,186,79
PF02971	180,83,106
PF18324	58,161,200
PF09348	213,73,129
PF07179	195,59,171
PF13669	209,102,150
PF00930	72,197,156
PF12973	200,91,147
PF04357	94,69,222
PF13492	51,197,201
PF07099	139,104,220
PF19838	57,197,154
PF05996	220,98,122
PF05724	112,78,186
PF04174	185,85,53
PF04107	87,187,71
PF13470	55,144,183
PF02537	99,156,209
PF04945	222,82,101
PF21770	49,111,189
PF02405	161,191,59
PF20510	200,84,207
PF03308	60,226,137
PF08409	187,160,84
PF06491	194,73,58
PF20094	94,191,106
PF03739	165,183,64
PF02754	64,183,94
PF02043	128,187,55
PF10459	193,59,149
PF08482	137,91,228
PF07879	150,226,67
PF02686	55,190,100
PF09157	56,154,209
PF21249	142,197,75
PF05154	219,101,63
PF13567	99,205,171
PF02391	94,188,221
PF08487	82,184,106
PF13768	199,100,202
PF02265	78,199,171
PF20695	220,204,102
PF01977	188,69,199
PF20696	53,195,92
PF13435	73,185,92
PF09699	76,171,195
PF00265	96,148,210
PF01386	150,63,211
PF14693	53,194,68
PF06155	87,214,97
PF03214	194,172,49
PF09179	74,95,199
PF05299	217,87,66
PF17899	61,84,221
PF20833	66,121,201
PF13602	134,96,211
PF05114	55,183,109
PF14534	68,228,135
PF00743	98,223,167
PF13242	220,70,142
PF01008	95,83,220
PF00933	204,93,216
PF06835	201,123,76
PF03968	196,104,227
PF06089	151,192,59
PF11104	78,219,61
PF11741	74,193,162
PF04342	78,189,163
PF03745	82,67,206
PF02797	181,65,62
PF00079	101,214,82
PF00745	102,201,55
PF05201	206,164,90
PF03747	182,193,94
PF21263	85,146,181
PF08359	184,90,210
PF16491	134,227,76
PF17900	223,63,193
PF10693	159,96,200
PF12159	196,96,213
PF15919	220,175,79
PF00255	144,80,222
PF13481	198,128,71
PF02674	198,97,115
PF13525	179,161,48
PF06052	209,94,195
PF02934	222,96,105
PF02637	101,218,108
PF20257	135,84,180
